Sno,Country
1,Afghanistan
2,Albania
3,Algeria
4,America
5,Andorra
6,Angola
7,Antigua
8,Argentina
9,Armenia
10,Australia
11,Austria
12,Azerbaijan
13,Bahamas
14,Bahrain
15,Bangladesh
16,Barbados
17,Belarus
18,Belgium
19,Belize
20,Benin
21,Bhutan
22,Bissau
23,Bolivia
24,Bosnia
25,Botswana
26,Brazil
27,British
28,Brunei
29,Bulgaria
30,Burkina
31,Burma
32,Burundi
33,Cambodia
34,Cameroon
35,Canada
36,Cape Verde
37,Central African Republic
38,Chad
39,Chile
40,China
41,Colombia
42,Comoros
43,Congo
44,Costa Rica
45,country debt
46,Croatia
47,Cuba
48,Cyprus
49,Czech
50,Denmark
51,Djibouti
52,Dominica
53,East Timor
54,Ecuador
55,Egypt
56,El Salvador
57,Emirate
58,England
59,Eritrea
60,Estonia
61,Ethiopia
62,Fiji
63,Finland
64,France
65,Gabon
66,Gambia
67,Georgia
68,Germany
69,Ghana
70,Great Britain
71,Greece
72,Grenada
73,Grenadines
74,Guatemala
75,Guinea
76,Guyana
77,Haiti
78,Herzegovina
79,Honduras
80,Hungary
81,Iceland
82,in usa
83,India
84,Indonesia
85,Iran
86,Iraq
87,Ireland
88,Israel
89,Italy
90,Ivory Coast
91,Jamaica
92,Japan
93,Jordan
94,Kazakhstan
95,Kenya
96,Kiribati
97,Korea
98,Kosovo
99,Kuwait
100,Kyrgyzstan
101,Laos
102,Latvia
103,Lebanon
104,Lesotho
105,Liberia
106,Libya
107,Liechtenstein
108,Lithuania
109,Luxembourg
110,Macedonia
111,Madagascar
112,Malawi
113,Malaysia
114,Maldives
115,Mali
116,Malta
117,Marshall
118,Mauritania
119,Mauritius
120,Mexico
121,Micronesia
122,Moldova
123,Monaco
124,Mongolia
125,Montenegro
126,Morocco
127,Mozambique
128,Myanmar
129,Namibia
130,Nauru
131,Nepal
132,Netherlands
133,New Zealand
134,Nicaragua
135,Niger
136,Nigeria
137,Norway
138,Oman
139,Pakistan
140,Palau
141,Panama
142,Papua
143,Paraguay
144,Peru
145,Philippines
146,Poland
147,Portugal
148,Qatar
149,Romania
150,Russia
151,Rwanda
152,Samoa
153,San Marino
154,Sao Tome
155,Saudi Arabia
156,scotland
157,scottish
158,Senegal
159,Serbia
160,Seychelles
161,Sierra Leone
162,Singapore
163,Slovakia
164,Slovenia
165,Solomon
166,Somalia
167,South Africa
168,South Sudan
169,Spain
170,Sri Lanka
171,St. Kitts
172,St. Lucia
173,St Kitts
174,St Lucia
175,Saint Kitts
176,Santa Lucia
177,Sudan
178,Suriname
179,Swaziland
180,Sweden
181,Switzerland
182,Syria
183,Taiwan
184,Tajikistan
185,Tanzania
186,Thailand
187,Tobago
188,Togo
189,Tonga
190,Trinidad
191,Tunisia
192,Turkey
193,Turkmenistan
194,Tuvalu
195,Uganda
196,Ukraine
197,United Kingdom
198,United States
199,Uruguay
200,USA
201,Uzbekistan
202,Vanuatu
203,Vatican
204,Venezuela
205,Vietnam
206,wales
207,welsh
208,Yemen
209,Zambia
210,Zimbabwe
